time,operation,density,memo
28857060,Dummy,,
28859585,iPSPlateCoating,,
28859664,iPSGetImage,0.2591888575250666,
28859675,iPSPassage,,
28861115,iPSGetImage,0.005923797623318943,
28861386,iPSMediumChange,,
28862585,iPSGetImage,0.008409029588991816,
28864062,iPSGetImage,0.016618111727856925,
28864074,iPSMediumChange,,
28865514,iPSGetImage,0.030585319680442695,
28865526,iPSMediumChange,,
28866966,iPSGetImage,0.06148222539789943,
28866978,iPSMediumChange,,
28868500,iPSGetImage,0.1509851676000055,
28868512,iPSMediumChange,,
28869952,iPSGetImage,0.3433436512578304,
28869964,iPSMediumChange,,
28869980,iPSPlateCoating,,
28870059,iPSGetImage,0.386829415659127,
28870071,iPSPassage,,
28871484,iPSGetImage,0.0014334231352472902,
28871496,iPSMediumChange,,
28872954,iPSGetImage,0.0015020854424344216,
28874394,iPSGetImage,0.0017033345974651415,
28874406,iPSMediumChange,,
28875846,iPSGetImage,0.0022613102455841514,
28875857,iPSMediumChange,,
28877297,iPSGetImage,0.004239917596949382,
28877308,iPSMediumChange,,
28878748,iPSGetImage,0.00806301041699823,
28878759,iPSMediumChange,,
28880199,iPSGetImage,0.019572750644176726,
28880210,iPSMediumChange,,
28881650,iPSGetImage,0.04375920166323262,
28881661,iPSMediumChange,,
28883101,iPSGetImage,0.08555221374823475,
28883112,iPSMediumChange,,
28884675,iPSGetImage,0.12141338576759322,
28884687,iPSMediumChange,,
28886127,iPSGetImage,0.18366846726296313,
28886138,iPSMediumChange,,
28887145,iPSPlateCoating,,
28887225,iPSGetImage,0.2884785366151715,
28887237,iPSPassage,,
28888677,iPSGetImage,0.0027803662763213424,
28888688,iPSMediumChange,,
28890186,iPSGetImage,0.0034692045069614837,
28891260,iPSGetImage,0.004256843713274003,
28891272,iPSMediumChange,,
28892529,iPSGetImage,0.0025852360126473344,manual
28892553,iPSMediumChange,,manual
28893937,iPSGetImage,0.004419117757284451,manual
28893944,iPSMediumChange,,manual
28895381,iPSGetImage,0.008965421158918107,manual
28895387,iPSMediumChange,,manual
28896867,iPSGetImage,0.022242761485176996,
28896879,iPSMediumChange,,
28898310,iPSGetImage,0.049004648529875974,
