well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag
A1,237.5,158.0,63.0,1,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample
A2,245.0,162.5,63.0,2,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample
A3,244.0,159.0,73.5,3,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample
A4,239.5,167.5,81.0,4,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample
B1,232.0,133.5,43.0,1,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample
B2,246.0,141.0,49.0,2,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample
B3,238.0,129.0,37.5,3,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample
B4,242.0,140.0,48.5,4,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample
C1,242.0,143.5,46.0,1,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample
C2,243.5,146.0,43.0,2,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample
C3,240.0,146.5,50.0,3,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample
C4,239.0,145.0,49.0,4,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample
D1,238.0,151.5,80.0,1,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample
D2,237.0,147.0,68.5,2,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample
D3,236.0,152.0,90.0,3,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample
D4,241.0,151.0,86.0,4,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample
E1,229.0,125.5,52.5,1,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample
E2,228.0,120.5,39.0,2,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample
E3,234.0,125.0,42.0,3,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample
E4,235.0,124.0,39.0,4,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample
F1,236.5,148.5,52.5,1,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample
F2,235.0,154.0,54.5,2,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample
F3,241.5,155.0,52.5,3,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample
F4,239.0,158.5,58.0,4,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample
G1,134.0,135.5,79.0,1,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample
G2,224.0,148.0,50.0,2,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample
G3,221.0,143.0,53.0,3,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample
G4,209.5,140.0,49.5,4,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample
H1,232.0,144.0,50.0,1,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample
H2,239.5,149.5,58.0,2,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample
H3,230.0,144.5,58.0,3,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample
H4,227.0,148.0,55.0,4,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample
